Center,AgeGroup,Inflammation,Appearance,Died,Survived,Total
Tokyo,Under50,Minimal,Malign,9,26,35
Tokyo,Under50,Minimal,Benign,7,68,75
Tokyo,Under50,Greater,Malign,4,25,29
Tokyo,Under50,Greater,Benign,3,9,12
Tokyo,50to69,Minimal,Malign,9,20,29
Tokyo,50to69,Minimal,Benign,9,46,55
Tokyo,50to69,Greater,Malign,11,18,29
Tokyo,50to69,Greater,Benign,2,5,7
Tokyo,70orover,Minimal,Malign,2,1,3
Tokyo,70orover,Minimal,Benign,3,6,9
Tokyo,70orover,Greater,Malign,1,5,6
Tokyo,70orover,Greater,Benign,0,1,1
Boston,Under50,Minimal,Malign,6,11,17
Boston,Under50,Minimal,Benign,7,24,31
Boston,Under50,Greater,Malign,6,4,10
Boston,Under50,Greater,Benign,0,0,0
Boston,50to69,Minimal,Malign,8,18,26
Boston,50to69,Minimal,Benign,20,58,78
Boston,50to69,Greater,Malign,3,10,13
Boston,50to69,Greater,Benign,2,3,5
Boston,70orover,Minimal,Malign,9,15,24
Boston,70orover,Minimal,Benign,18,26,44
Boston,70orover,Greater,Malign,3,1,4
Boston,70orover,Greater,Benign,0,1,1
Glamorga,Under50,Minimal,Malign,16,16,32
Glamorga,Under50,Minimal,Benign,7,20,27
Glamorga,Under50,Greater,Malign,3,8,11
Glamorga,Under50,Greater,Benign,0,1,1
Glamorga,50to69,Minimal,Malign,14,27,41
Glamorga,50to69,Minimal,Benign,12,39,51
Glamorga,50to69,Greater,Malign,3,10,13
Glamorga,50to69,Greater,Benign,0,4,4
Glamorga,70orover,Minimal,Malign,3,12,15
Glamorga,70orover,Minimal,Benign,7,11,18
Glamorga,70orover,Greater,Malign,3,4,7
Glamorga,70orover,Greater,Benign,0,1,1
